year,total_papers,nodes,edges
1983,1,6,15
1984,1,4,6
1988,1,5,10
1991,1,5,10
1994,2,9,18
1996,3,12,23
1997,2,16,65
1998,2,10,20
2001,3,12,29
2002,2,7,11
2003,3,11,23
2004,10,56,264
2005,9,95,592
2006,10,76,408
2007,19,177,1245
2008,17,148,1010
2009,25,181,1008
2010,50,368,3036
2011,100,765,6571
2012,130,1067,11142
2013,154,1060,10166
2014,186,892,7136
2015,287,1295,10106
2016,447,1802,12673
2017,536,2149,14991
2018,760,2539,17657
2019,986,3027,24521
2020,1094,3061,22996
2021,1190,3326,26379
2022,1343,3672,28173
2023,1657,4324,35256
2024,1936,5074,52280
2025,321,1271,9091
